Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,General,446.006250,,0.600000,TSQL,100.0,100.0,023,NN,NFM,6.25,,,,,,
1,Network,446.018750,,0.600000,TSQL,159.8,159.8,023,NN,NFM,6.25,,,,,,
2,Video,446.031250,,0.600000,TSQL,127.3,127.3,023,NN,NFM,6.25,,,,,,
3,Fire,446.043750,,0.600000,TSQL,167.9,167.9,023,NN,NFM,6.25,,,,,,
4,PMR 05,446.056250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
5,PMR 06,446.068750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
6,PMR 07,446.081250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
7,PMR 08,446.093750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,,
